evaluable_ca,frame_evaluable,frame_has_inversion,frame_index,inverted_ca,path,side,system
17,True,False,0,0,trpcage_duet_seed211_p3,raw,trpcage
17,True,False,1,0,trpcage_duet_seed211_p3,raw,trpcage
17,True,False,2,0,trpcage_duet_seed211_p3,raw,trpcage
17,True,False,3,0,trpcage_duet_seed211_p3,raw,trpcage
17,True,False,4,0,trpcage_duet_seed211_p3,raw,trpcage
17,True,False,5,0,trpcage_duet_seed211_p3,raw,trpcage
17,True,False,6,0,trpcage_duet_seed211_p3,raw,trpcage
17,True,False,7,0,trpcage_duet_seed211_p3,raw,trpcage
17,True,False,8,0,trpcage_duet_seed211_p3,raw,trpcage
17,True,False,9,0,trpcage_duet_seed211_p3,raw,trpcage
17,True,False,10,0,trpcage_duet_seed211_p3,raw,trpcage
17,True,False,11,0,trpcage_duet_seed211_p3,raw,trpcage
17,True,False,12,0,trpcage_duet_seed211_p3,raw,trpcage
17,True,False,13,0,trpcage_duet_seed211_p3,raw,trpcage
17,True,False,14,0,trpcage_duet_seed211_p3,raw,trpcage
17,True,False,15,0,trpcage_duet_seed211_p3,raw,trpcage
17,True,False,16,0,trpcage_duet_seed211_p3,raw,trpcage
17,True,False,17,0,trpcage_duet_seed211_p3,raw,trpcage
17,True,False,18,0,trpcage_duet_seed211_p3,raw,trpcage
17,True,False,19,0,trpcage_duet_seed211_p3,raw,trpcage
17,True,False,20,0,trpcage_duet_seed211_p3,raw,trpcage
17,True,False,21,0,trpcage_duet_seed211_p3,raw,trpcage
17,True,False,22,0,trpcage_duet_seed211_p3,raw,trpcage
17,True,False,23,0,trpcage_duet_seed211_p3,raw,trpcage
17,True,False,24,0,trpcage_duet_seed211_p3,raw,trpcage
17,True,False,25,0,trpcage_duet_seed211_p3,raw,trpcage
17,True,False,26,0,trpcage_duet_seed211_p3,raw,trpcage
17,True,False,27,0,trpcage_duet_seed211_p3,raw,trpcage
17,True,False,28,0,trpcage_duet_seed211_p3,raw,trpcage
17,True,False,29,0,trpcage_duet_seed211_p3,raw,trpcage
17,True,False,30,0,trpcage_duet_seed211_p3,raw,trpcage
17,True,False,31,0,trpcage_duet_seed211_p3,raw,trpcage
17,True,False,32,0,trpcage_duet_seed211_p3,raw,trpcage
17,True,True,0,7,trpcage_duet_seed211_p3,relaxed,trpcage
17,True,True,1,5,trpcage_duet_seed211_p3,relaxed,trpcage
17,True,True,2,3,trpcage_duet_seed211_p3,relaxed,trpcage
17,True,True,3,3,trpcage_duet_seed211_p3,relaxed,trpcage
16,True,True,4,5,trpcage_duet_seed211_p3,relaxed,trpcage
17,True,True,5,4,trpcage_duet_seed211_p3,relaxed,trpcage
17,True,True,6,2,trpcage_duet_seed211_p3,relaxed,trpcage
17,True,True,7,2,trpcage_duet_seed211_p3,relaxed,trpcage
17,True,True,8,2,trpcage_duet_seed211_p3,relaxed,trpcage
17,True,True,9,2,trpcage_duet_seed211_p3,relaxed,trpcage
17,True,True,10,3,trpcage_duet_seed211_p3,relaxed,trpcage
17,True,True,11,3,trpcage_duet_seed211_p3,relaxed,trpcage
17,True,True,12,2,trpcage_duet_seed211_p3,relaxed,trpcage
17,True,True,13,2,trpcage_duet_seed211_p3,relaxed,trpcage
17,True,True,14,3,trpcage_duet_seed211_p3,relaxed,trpcage
17,True,True,15,2,trpcage_duet_seed211_p3,relaxed,trpcage
17,True,True,16,1,trpcage_duet_seed211_p3,relaxed,trpcage
17,True,True,17,1,trpcage_duet_seed211_p3,relaxed,trpcage
17,True,True,18,1,trpcage_duet_seed211_p3,relaxed,trpcage
17,True,True,19,1,trpcage_duet_seed211_p3,relaxed,trpcage
17,True,True,20,2,trpcage_duet_seed211_p3,relaxed,trpcage
17,True,True,21,1,trpcage_duet_seed211_p3,relaxed,trpcage
17,True,True,22,2,trpcage_duet_seed211_p3,relaxed,trpcage
17,True,False,23,0,trpcage_duet_seed211_p3,relaxed,trpcage
17,True,True,24,2,trpcage_duet_seed211_p3,relaxed,trpcage
17,True,False,25,0,trpcage_duet_seed211_p3,relaxed,trpcage
17,True,False,26,0,trpcage_duet_seed211_p3,relaxed,trpcage
17,True,True,27,1,trpcage_duet_seed211_p3,relaxed,trpcage
17,True,True,28,1,trpcage_duet_seed211_p3,relaxed,trpcage
17,True,False,29,0,trpcage_duet_seed211_p3,relaxed,trpcage
17,True,True,30,1,trpcage_duet_seed211_p3,relaxed,trpcage
17,True,False,31,0,trpcage_duet_seed211_p3,relaxed,trpcage
16,True,False,32,0,trpcage_duet_seed211_p3,relaxed,trpcage
17,True,False,0,0,trpcage_frozen_seed223_p6,raw,trpcage
17,True,False,1,0,trpcage_frozen_seed223_p6,raw,trpcage
17,True,False,2,0,trpcage_frozen_seed223_p6,raw,trpcage
17,True,False,3,0,trpcage_frozen_seed223_p6,raw,trpcage
17,True,False,4,0,trpcage_frozen_seed223_p6,raw,trpcage
17,True,False,5,0,trpcage_frozen_seed223_p6,raw,trpcage
17,True,False,6,0,trpcage_frozen_seed223_p6,raw,trpcage
17,True,False,7,0,trpcage_frozen_seed223_p6,raw,trpcage
17,True,False,8,0,trpcage_frozen_seed223_p6,raw,trpcage
17,True,False,9,0,trpcage_frozen_seed223_p6,raw,trpcage
17,True,False,10,0,trpcage_frozen_seed223_p6,raw,trpcage
17,True,False,11,0,trpcage_frozen_seed223_p6,raw,trpcage
17,True,False,12,0,trpcage_frozen_seed223_p6,raw,trpcage
17,True,False,13,0,trpcage_frozen_seed223_p6,raw,trpcage
17,True,False,14,0,trpcage_frozen_seed223_p6,raw,trpcage
