protein,stride_in_10ps,method,seed,weighted_final_backbone_rmsd_a,best_valid_final_backbone_rmsd_a,heavy_rmsd_metric,weighted_final_heavy_rmsd_a,weighted_valid_thp,returned_valid_target_hit_count,population_size,valid_anytime_hit_count,path_diversity_normalized_tica_dtw_mean,sampled_frame_ets_kj_mol_mean,decoder_nfe,wall_clock_s,whole_path_valid_fraction,run_directory
bba,128,duet,211,3.2360759327697224,2.410051767248339,common-heavy-atom_Kabsch_RMSD,5.2666750950789645,0.6560889020927332,2,4,4,0.1143569390401365,120200428496087.44,101888,2650.7528169723228,1.0,/workspace/sejin/AI_MD_NSMC_phase_b_recovery/outputs/small_protein_transition_pilot/bba/stride128_t32/duet/seed_211
bba,128,duet,223,3.596763356105395,3.2627165141373458,common-heavy-atom_Kabsch_RMSD,6.03529914374657,0.0,0,4,0,,,101888,2614.29518994689,0.75,/workspace/sejin/AI_MD_NSMC_phase_b_recovery/outputs/small_protein_transition_pilot/bba/stride128_t32/duet/seed_223
bba,128,frozen,211,6.629497893919515,4.636542807211672,common-heavy-atom_Kabsch_RMSD,8.484457086527362,0.25,4,16,5,0.4220203117146108,373098943666865.75,101888,2756.7785351909697,0.3125,/workspace/sejin/AI_MD_NSMC_phase_b_recovery/outputs/small_protein_transition_pilot/bba/stride128_t32/frozen/seed_211
bba,128,frozen,223,6.104853874484579,3.539233564442419,common-heavy-atom_Kabsch_RMSD,7.705879673455329,0.125,2,16,3,0.39416501885615524,2.848025623155735e+17,101888,2810.678469946608,0.375,/workspace/sejin/AI_MD_NSMC_phase_b_recovery/outputs/small_protein_transition_pilot/bba/stride128_t32/frozen/seed_223
bba,16,duet,211,3.2397059481146258,3.7907004767149446,common-heavy-atom_Kabsch_RMSD,5.512706988831747,0.0,0,4,0,,,101888,2604.566751227714,0.25,/workspace/sejin/AI_MD_NSMC_phase_b_recovery/outputs/small_protein_transition_pilot/bba/stride16_t32/duet/seed_211
bba,16,duet,223,3.261501925642559,2.97059682890389,common-heavy-atom_Kabsch_RMSD,5.200309242331634,0.5986162064483275,1,4,4,,1.89982921540876e+16,101888,2607.3853795947507,1.0,/workspace/sejin/AI_MD_NSMC_phase_b_recovery/outputs/small_protein_transition_pilot/bba/stride16_t32/duet/seed_223
bba,16,frozen,211,7.334141367668016,5.143043128031302,common-heavy-atom_Kabsch_RMSD,8.998572999673003,0.25,4,16,8,0.4980532472042971,7.133533417839425e+16,101888,2812.505235481076,0.8125,/workspace/sejin/AI_MD_NSMC_phase_b_recovery/outputs/small_protein_transition_pilot/bba/stride16_t32/frozen/seed_211
bba,16,frozen,223,6.671158735072319,5.097231444424716,common-heavy-atom_Kabsch_RMSD,8.315962151187534,0.25,4,16,7,0.4202693098389518,8961193182151756.0,101888,2714.384330626577,0.5,/workspace/sejin/AI_MD_NSMC_phase_b_recovery/outputs/small_protein_transition_pilot/bba/stride16_t32/frozen/seed_223
chignolin,128,duet,211,2.7975028931829238,,common-heavy-atom_Kabsch_RMSD,4.5043524636540475,0.0,0,4,0,,,101888,2488.6830522837117,0.0,/workspace/sejin/AI_MD_NSMC_phase_b_recovery/outputs/small_protein_transition_pilot/chignolin/stride128_t32/duet/seed_211
chignolin,128,duet,223,1.7615980002752312,,common-heavy-atom_Kabsch_RMSD,2.887862104624969,0.0,0,4,0,,,101888,2268.2734322557226,0.0,/workspace/sejin/AI_MD_NSMC_phase_b_recovery/outputs/small_protein_transition_pilot/chignolin/stride128_t32/duet/seed_223
